"securities","companies__t","companies__exch","companies__c","companies__securities__001","companies__securities__002","companies__sc","companies__rv","companies__mc","companies__en","companies__cc","companies__ec","companies__cpr","companies__dt","companies__fy","updateTime"
"","OZK","UW","Bank OZK","riy","","14","1208.595","4019582863.7700005","2563","6372351","41179","155","2019-03-15","2018",""
"","PEP","UW","PepsiCo Inc","riy","spx","12","64661","190884253418.81998","267000","24491117","44974","545","2019-03-08","2018",""
"","ORCL","UN","Oracle Corp","riy","spx","18","39506","171416762559.99997","136000","108295023","89887","1205","2018-09-26","2018",""
"","OXY","UN","Occidental Petroleum Corp","riy","spx","13","17824","35634433878.299995","11000","14126873","124103","114","2019-03-28","2018",""
"","ORI","UN","Old Republic International Corp","riy","","14","6021.7","6754434858.5","9000","3135291","75697","41.4","2019-04-15","2018",""
"","OSK","UN","Oshkosh Corp","riy","","16","8382","6456578405.18","15400","10572677","56379","188","2018-12-21","2018",""
"","PNR","UN","Pentair PLC","riy","spx","16","2965.1","7717149538.179999","10000","6153959","58564","105","2019-03-22","2018",""
"","PII","UN","Polaris Industries Inc","riy","","11","6078.54","6209056556.5","4700","9300911","53892","173","2019-03-11","2018",""
"","PH","UN","Parker-Hannifin Corp","riy","spx","16","14320.324","26520254732.4","55610","18238446","54048","337","2018-08-24","2018",""
"","PB","UN","Prosperity Bancshares Inc","riy","","14","843.221","6757437814.160001","3036","4879348","35724","137","2019-03-14","2018",""
"","PPL","UN","PPL Corp","riy","spx","19","7785","25754436991.659996","12444","11338785","81211","140","2019-04-02","2018",""
"","ON","UW","ON Semiconductor Corp","riy","","18","5878.3","10050370643.449999","35700","11893401","14356","828","2019-03-29","2018",""
"","PEN","UN","Penumbra Inc","riy","","15","444.938","5676365593.360002","2200","726648","51611","14.1","2019-04-26","2018",""
"","POST","UN","Post Holdings Inc","riy","","12","5681.1","7644674930.7","10100","9883189","66102","150","2018-12-10","2018",""
"","POOL","UW","Pool Corp","riy","","11","2998.097","8540449466.16","4000","3282465","43800","75","2019-03-28","2018",""
"","ORLY","UW","O'Reilly Automotive Inc","riy","spx","11","9536.428","33277052667.51","49476","4866262","21373","228","2019-03-25","2018",""
"","OUT","UN","Outfront Media Inc","riy","","14","1606.2","3839293268.5","2268","6417229","68269","94","2019-04-16","2018",""
"","PFG","UW","Principal Financial Group Inc","riy","spx","14","14237.2","15194208228.480001","16475","12244054","82872","148","2019-04-09","2018",""
"","PAYC","UN","Paycom Software Inc","riy","","18","566.336","15454713741.759998","3050","16938845","66625","254","2019-03-27","2018",""
"","PK","UN","Park Hotels & Resorts Inc","riy","","14","2737","6248009417.400001","517","7601165","25280","301","2019-03-11","2018",""
"","PLD","UN","Prologis Inc","riy","spx","14","2804.449","55507744910.50001","1617","28201400","115368","244","2019-03-22","2018",""
"","PEG","UN","Public Service Enterprise Group Inc","riy","spx","19","9696","29590055467.149998","13145","10419291","133067","78","2019-03-12","2018",""
"","PNC","UN","PNC Financial Services Group Inc/The","riy","spx","14","19993","70291297493.04","50928","15695189","67648","232","2019-03-12","2018",""
"","PM","UN","Philip Morris International Inc","riy","spx","12","29625","133976363614.30998","77400","15934235","49875","308","2019-03-21","2018",""
"","PCG","UN","PG&E Corp","riy","","19","16759","5795063211.15","24000","9289842","177765","52","2019-04-26","2018",""
"","PBCT","UW","People's United Financial Inc","riy","spx","14","1922.7","7473605406.119999","5536","5700284","66596","86","2019-04-02","2018",""
"","PFPT","UQ","Proofpoint Inc","riy","","18","716.994","6516510268.31","2613","64730296","138666","467","2019-04-17","2018",""
"","PODD","UW","Insulet Corp","riy","","15","563.823","10609198941.26","1169","10328978","89294","116","2019-04-12","2018",""
"","PEGA","UW","Pegasystems Inc","riy","","18","891.581","6204607495.0199995","4650","981250","96508","10","2019-04-30","2018",""
"","PGRE","UN","Paramount Group Inc","riy","","14","758.961","3149947742.5","321","9778009","98538","99.23","2019-03-19","2018",""
"","PINC","UW","Premier Inc","riy","","15","1217.638","4812765920.820001","2200","6505818","118438","55","2018-10-24","2018",""
"","PAYX","UW","Paychex Inc","riy","spx","18","3772.5","30337415532.000004","15600","6736164","54790","123","2018-09-07","2018",""
"","PNW","UN","Pinnacle West Capital Corp","riy","spx","19","3691.247","9988825820.640001","6259","12145522","133779","91","2019-03-28","2018",""
"","PHM","UN","PulteGroup Inc","riy","spx","11","10188.331","10609646124.15","5086","9793261","95551","103","2019-03-08","2018",""
"","PGR","UN","Progressive Corp/The","riy","spx","14","31954.7","42015202000.00001","37346","14172925","62925","225","2019-03-29","2018",""
"","PPG","UN","PPG Industries Inc","riy","spx","17","15374","31577297196.94","47300","11784404","39494","298","2019-02-22","2018",""
"","ROP","UN","Roper Technologies Inc","riy","spx","16","5191.2","36757426019.12","15611","29054430","88707","328","2019-04-30","2018",""
"","RP","UW","RealPage Inc","riy","","18","869.48","5074723935.5","6200","11046385","49536","223","2019-04-26","2018",""
"","QRTEA","UW","Qurate Retail Inc","riy","","11","14070","3418544981.39","null","13993061","28779","486","2019-04-25","2018",""
"","PS","UW","Pluralsight Inc","riy","","18","232.029","2414596959.59","null","null","null","null","2019-03-04","2018",""
"","ROL","UN","Rollins Inc","riy","spx","11","1821.565","10799028123.48","13734","4872075","111960","43.5","2019-03-07","2018",""
"","RPAI","UN","Retail Properties of America Inc","riy","","14","482.497","2792468549.68","211","5337417","85953","62","2019-04-05","2018",""
"","RJF","UN","Raymond James Financial Inc","riy","spx","14","8023","12514222578.3","14200","11123643","92950","120","2019-01-17","2018",""
"","PSTG","UN","Pure Storage Inc","riy","","18","1359.824","4499287827.84","2800","18514639","217207","85","2018-05-08","2018",""
"","QEP","UN","QEP Resources Inc","riy","","13","1774.5","1041527996.3999999","465","6798430","197869","34","2019-03-15","2018",""
"","RTN","UN","Raytheon Co","riy","spx","16","27058","61084368650","67000","22420258","110802","202","2019-04-16","2018",""
"","RNR","UN","RenaissanceRe Holdings Ltd","riy","","14","2074.941","8530156546.799999","411","10819363","198365","54.5","2019-04-02","2018",""
"","REZI","UN","Resideo Technologies Inc","riy","","16","4827","1455395172.3","null","null","null","null","2019-04-25","2018",""
"","PSX","UN","Phillips 66","riy","spx","13","111461","50301277603.200005","14200","19304673","196407","98","2019-03-29","2018",""
"","RES","UN","RPC Inc","riy","","13","1721.005","1078934104.66","3600","2559270","81520","31.4","2019-03-21","2018",""
"","QGEN","UN","QIAGEN NV","riy","","15","1501.848","9392374420","4952","null","null","null","null","2018",""
"","RVI","UN","Retail Value Inc","riy","","14","292.581","702642849.44","null","null","null","null","null","-9999",""
"","RGLD","UW","Royal Gold Inc","riy","","17","423.056","7907104388.85","23","3905910","431560","9.1","2018-10-01","2018",""
"","QCOM","UW","QUALCOMM Inc","riy","spx","18","24273","101361568488.51001","37000","19975472","85592","233","2019-01-24","2018",""
"","RS","UN","Reliance Steel & Aluminum Co","riy","","17","11534.5","8042150279.650001","15600","12567944","59077","213","2019-04-05","2018",""
"","RLGY","UN","Realogy Holdings Corp","riy","","14","6079","1109009404.91","11400","9123122","57336","159","2019-03-06","2018",""
"","PVH","UN","PVH Corp","riy","spx","11","9656.8","7636547040.39","20500","17217565","16520","1042","2018-05-07","2018",""
"","QRVO","UW","Qorvo Inc","riy","spx","18","3090.325","13703900492.76","8100","6941777","42700","163","2018-06-26","2018",""
"","REG","UW","Regency Centers Corp","riy","spx","14","1120.975","10377436477.130001","446","5419621","103591","52","2019-03-21","2018",""
"","RF","UN","Regions Financial Corp","riy","spx","14","6412","16591792365.199999","19969","9919304","64629","153","2019-03-08","2018",""
"","REGN","UW","Regeneron Pharmaceuticals Inc","riy","spx","15","6710.8","41339203103.64","7400","26520555","134115","198","2019-04-26","2018",""
"","RNG","UN","RingCentral Inc","riy","","10","673.624","14487160075.92","1352","7657873","110540","69","2019-04-11","2018",""
