rank,name,revenues,profits
224,Viacom,"$12,488 ",1438
225,Becton Dickinson,"$12,483 ",976
226,Micron Technology,"$12,399 ",-276
227,Principal Financial,"$12,394 ",1316.5
228,Arconic,"$12,394 ",-941
229,NRG Energy,"$12,351 ",-774
230,VF,"$12,207 ",1074.1
231,Devon Energy,"$12,197 ",-3302
232,D.R. Horton,"$12,157 ",886.3
233,Bed Bath & Beyond,"$12,104 ",841.5
234,Consolidated Edison,"$12,075 ",1245
235,Edison International,"$11,869 ",1311
236,Sherwin-Williams,"$11,856 ",1132.7
237,NGL Energy Partners,"$11,742 ",-198.9
238,Dominion Resources,"$11,737 ",2123
239,Ameriprise Financial,"$11,735 ",1314
240,ADP,"$11,668 ",1492.5
241,Hilton Worldwide Holdings,"$11,663 ",348
242,First Data,"$11,584 ",420
243,Henry Schein,"$11,572 ",506.8
244,Toys ,"$11,540 ",-36
245,BB&T Corp.,"$11,538 ",2426
246,Reinsurance Group of America,"$11,522 ",701.4
247,Core-Mark Holding,"$11,507 ",54.2
248,Biogen,"$11,449 ",3702.8
249,Las Vegas Sands,"$11,410 ",1670
250,Stanley Black & Decker,"$11,407 ",965.3
251,Parker-Hannifin,"$11,361 ",806.8
252,Stryker,"$11,325 ",1647
253,Estee Lauder,"$11,262 ",1114.6
254,Celgene,"$11,229 ",1999.2
255,BlackRock,"$11,155 ",3172
256,Xcel Energy,"$11,107 ",1123.4
257,CSX,"$11,069 ",1714
258,Unum Group,"$11,047 ",931.4
259,Jacobs Engineering Group,"$10,964 ",210.5
260,Lennar,"$10,950 ",911.8
261,Group 1 Automotive,"$10,888 ",147.1
262,Leucadia National,"$10,875 ",130
263,Entergy,"$10,846 ",-583.6
264,PayPal Holdings,"$10,842 ",1401
265,Applied Materials,"$10,825 ",1721
266,Voya Financial,"$10,782 ",-428
267,MasterCard,"$10,776 ",4059
268,Priceline Group,"$10,743 ",2135
269,Liberty Interactive,"$10,647 ",1235
270,AutoZone,"$10,636 ",1241
271,State Street Corp.,"$10,635 ",2143
272,DTE Energy,"$10,630 ",868
273,L-3 Communications,"$10,597 ",710
274,HollyFrontier,"$10,536 ",-260.5
275,Praxair,"$10,534 ",1500
276,Universal Health Services,"$10,508 ",702.4
277,Discover Financial Services,"$10,497 ",2393
278,Occidental Petroleum,"$10,398 ",-574
279,United States Steel,"$10,261 ",-440
280,Sempra Energy,"$10,183 ",1370
281,Baxter International,"$10,163 ",4965
282,W.W. Grainger,"$10,137 ",605.9
283,Autoliv,"$10,074 ",567.1
284,Norfolk Southern,"$9,888 ",1668
285,Baker Hughes,"$9,841 ",-2738
286,Ally Financial,"$9,835 ",1067
287,Sonic Automotive,"$9,732 ",93.2
288,Owens & Minor,"$9,723 ",108.8
289,Huntsman,"$9,657 ",326
290,Laboratory Corp. of America,"$9,642 ",732.1
291,Murphy USA,"$9,633 ",221.5
292,Advance Auto Parts,"$9,568 ",459.6
293,Fidelity National Financial,"$9,554 ",650
294,Air Products & Chemicals,"$9,524 ",631.1
295,Hormel Foods,"$9,523 ",890.1
296,Hertz Global Holdings,"$9,480 ",-491
297,MGM Resorts International,"$9,455 ",1101.4
298,Corning,"$9,390 ",3695
299,Republic Services,"$9,388 ",612.6
300,Alcoa,"$9,318 ",-400
301,Fidelity National Information Services,"$9,241 ",568
302,Pacific Life,"$9,169 ",824
303,SunTrust Banks,"$9,161 ",1878
304,LKQ,"$9,082 ",464
305,BorgWarner,"$9,071 ",118.5
306,Ball,"$9,061 ",263
307,CST Brands,"$9,061 ",324
308,Public Service Enterprise Group,"$9,061 ",887
309,Eastman Chemical,"$9,008 ",854
310,eBay,"$8,979 ",7266
311,Mohawk Industries,"$8,959 ",930.4
312,Oneok,"$8,921 ",352
313,Frontier Communications,"$8,896 ",-373
314,Netflix,"$8,831 ",186.7
315,American Family Insurance Group,"$8,829 ",325.6
316,Thrivent Financial for Lutherans,"$8,777 ",587.8
317,Expedia,"$8,774 ",281.8
318,Lithia Motors,"$8,678 ",197.1
319,Avis Budget Group,"$8,659 ",163
320,Reliance Steel & Aluminum,"$8,613 ",304.3
321,GameStop,"$8,608 ",353.2
322,Tenneco,"$8,599 ",363
323,O,"$8,593 ",1037.7
324,Peter Kiewit Sons,"$8,573 ",396
325,United Natural Foods,"$8,470 ",125.8
326,salesforce.com,"$8,392 ",179.6
327,Boston Scientific,"$8,386 ",347
328,Newmont Mining,"$8,379 ",-627
329,Genworth Financial,"$8,369 ",-277
330,Live Nation Entertainment,"$8,355 ",2.9
331,Veritiv,"$8,327 ",21
332,News Corp.,"$8,319 ",179
333,Crown Holdings,"$8,284 ",496
334,Global Partners,"$8,240 ",-199.4
335,PVH,"$8,203 ",549
336,Level 3 Communications,"$8,172 ",677
337,Navistar International,"$8,111 ",-97
338,Univar,"$8,074 ",-68.4
339,Campbell Soup,"$7,961 ",563
340,Dick,"$7,922 ",287.4
341,Weyerhaeuser,"$7,902 ",1027
342,Mutual of Omaha Insurance,"$7,899 ",356.6
343,Chesapeake Energy,"$7,872 ",-4401
344,Anadarko Petroleum,"$7,869 ",-3071
345,Interpublic Group,"$7,847 ",608.5
346,J.M. Smucker,"$7,811 ",688.7
347,Steel Dynamics,"$7,777 ",382.1
348,Foot Locker,"$7,766 ",664
349,Western Refining,"$7,743 ",124.9
350,SpartanNash,"$7,735 ",56.8
351,Dean Foods,"$7,710 ",119.9
352,Zimmer Biomet Holdings,"$7,684 ",305.9
353,PulteGroup,"$7,669 ",602.7
354,W.R. Berkley,"$7,654 ",601.9
355,Quanta Services,"$7,651 ",198.4
356,EOG Resources,"$7,651 ",-1096.7
357,Charles Schwab,"$7,644 ",1889
358,Eversource Energy,"$7,639 ",942.3
359,Anixter International,"$7,625 ",120.5
360,EMCOR Group,"$7,552 ",181.9
361,Assurant,"$7,532 ",565.4
362,CenterPoint Energy,"$7,528 ",432
363,Harris,"$7,527 ",324
364,HD Supply Holdings,"$7,524 ",196
365,PPL,"$7,517 ",1902
366,Quest Diagnostics,"$7,515 ",645
367,Williams,"$7,499 ",-424
368,WEC Energy Group,"$7,472 ",939
369,Hershey,"$7,440 ",720
370,AGCO,"$7,411 ",160.1
371,Ralph Lauren,"$7,405 ",396
372,Masco,"$7,357 ",491
373,WESCO International,"$7,336 ",101.6
374,LifePoint Health,"$7,274 ",121.9
375,National Oilwell Varco,"$7,251 ",-2412
376,Kindred Healthcare,"$7,227 ",-664.2
377,Mosaic,"$7,163 ",297.8
378,Alliance Data Systems,"$7,138 ",515.8
379,Computer Sciences,"$7,106 ",251
380,Huntington Ingalls Industries,"$7,068 ",573
381,Leidos Holdings,"$7,043 ",244
382,Erie Insurance Group,"$7,016 ",741.9
383,Tesla,"$7,000 ",-674.9
384,Ascena Retail Group,"$6,995 ",-11.9
385,Darden Restaurants,"$6,934 ",375
386,Harman International Industries,"$6,912 ",361.7
387,Nvidia,"$6,910 ",1666
388,R.R. Donnelley & Sons,"$6,896 ",-495.9
389,Fifth Third Bancorp,"$6,889 ",1564
390,Quintiles Transnational Holdings,"$6,878 ",115
391,Jones Lang LaSalle,"$6,804 ",318.2
392,Dover,"$6,794 ",508.9
393,Spirit AeroSystems Holdings,"$6,793 ",469.7
394,Ryder System,"$6,787 ",262.5
395,A-Mark Precious Metals,"$6,784 ",9.3
396,Tractor Supply,"$6,780 ",437.1
397,Sealed Air,"$6,778 ",486.4
398,Auto-Owners Insurance,"$6,775 ",706.3
399,Yum China Holdings,"$6,752 ",502
400,Calpine,"$6,716 ",92
401,Owens-Illinois,"$6,702 ",209
402,Targa Resources,"$6,691 ",-187.3
403,JetBlue Airways,"$6,632 ",759
404,Jones Financial,"$6,632 ",746
405,Franklin Resources,"$6,618 ",1726.7
406,Activision Blizzard,"$6,608 ",966
407,J.B. Hunt Transport Services,"$6,556 ",432.1
408,Constellation Brands,"$6,548 ",1054.9
409,NCR,"$6,543 ",270
410,Asbury Automotive Group,"$6,528 ",167.2
411,American Financial Group,"$6,498 ",649
412,Discovery Communications,"$6,497 ",1194
413,Berry Global Group,"$6,489 ",236
414,Sanmina,"$6,481 ",187.8
415,CalAtlantic Group,"$6,477 ",484.7
416,Dr Pepper Snapple Group,"$6,440 ",847
417,Dillard,"$6,418 ",169.2
418,HRG Group,"$6,403 ",-198.8
419,CMS Energy,"$6,399 ",551
420,Graybar Electric,"$6,385 ",93.1
421,Builders FirstSource,"$6,367 ",144.3
422,Yum Brands,"$6,366 ",1619
423,Casey,"$6,304 ",226
424,Amphenol,"$6,286 ",822.9
425,Oshkosh,"$6,279 ",216.4
426,iHeartMedia,"$6,274 ",-296.3
427,TreeHouse Foods,"$6,175 ",-228.6
428,Alleghany,"$6,131 ",456.9
429,Expeditors International of Washington,"$6,098 ",430.8
430,Avery Dennison,"$6,087 ",320.7
431,Ameren,"$6,076 ",653
432,Hanesbrands,"$6,063 ",539.4
433,Motorola Solutions,"$6,038 ",560
434,St. Jude Medical,"$6,004 ",734
435,Harley-Davidson,"$5,997 ",692.2
436,Regions Financial,"$5,967 ",1163
437,Intercontinental Exchange,"$5,958 ",1422
438,Alaska Air Group,"$5,931 ",814
439,Old Republic International,"$5,901 ",466.9
440,Lam Research,"$5,886 ",914
441,AK Steel Holding,"$5,883 ",-7.8
442,Rockwell Automation,"$5,880 ",729.7
443,Adobe Systems,"$5,854 ",1168.8
444,Avon Products,"$5,853 ",-107.6
445,Terex,"$5,841 ",-176.1
446,NVR,"$5,835 ",425.3
447,Dana Holding,"$5,826 ",640
448,Realogy Holdings,"$5,810 ",213
449,American Tower,"$5,786 ",956.4
450,Packaging Corp. of America,"$5,779 ",449.6
451,Citizens Financial Group,"$5,763 ",1045
452,United Rentals,"$5,762 ",566
453,Clorox,"$5,761 ",648
454,Genesis Healthcare,"$5,733 ",-64
455,M&T Bank Corp.,"$5,722 ",1315.1
456,Ingredion,"$5,704 ",484.9
457,UGI,"$5,686 ",364.7
458,Owens Corning,"$5,677 ",393
459,S&P Global,"$5,661 ",2106
460,Markel,"$5,612 ",455.7
461,Wyndham Worldwide,"$5,599 ",611
462,Arthur J. Gallagher,"$5,595 ",414.4
463,Burlington Stores,"$5,591 ",215.9
464,First American Financial,"$5,576 ",343
465,Symantec,"$5,568 ",2488
466,Patterson,"$5,555 ",187.2
467,Olin,"$5,551 ",-3.9
468,NetApp,"$5,546 ",229
469,Raymond James Financial,"$5,520 ",529.4
470,TravelCenters of America,"$5,511 ",-2
471,Fiserv,"$5,505 ",930
472,Host Hotels & Resorts,"$5,488 ",762
473,Insight Enterprises,"$5,486 ",84.7
474,Mattel,"$5,457 ",318
475,AmTrust Financial Services,"$5,451 ",411
476,Cincinnati Financial,"$5,449 ",590.7
477,Simon Property Group,"$5,435 ",1838.9
478,Western Union,"$5,423 ",253.2
479,KeyCorp,"$5,422 ",791
480,Delek US Holdings,"$5,414 ",-153.7
481,Booz Allen Hamilton Holding,"$5,406 ",294.1
482,Chemours,"$5,400 ",7
483,Western & Southern Financial Group,"$5,398 ",241.2
484,Celanese,"$5,389 ",900
485,Windstream Holdings,"$5,387 ",-383.5
486,Seaboard,"$5,379 ",312
487,Essendant,"$5,369 ",63.9
488,Apache,"$5,354 ",-1405
489,Airgas,"$5,314 ",337.5
490,Kelly Services,"$5,277 ",120.8
491,Liberty Media,"$5,276 ",680
492,Rockwell Collins,"$5,259 ",728
493,Robert Half International,"$5,250 ",343.4
494,CH2M Hill,"$5,236 ",15
495,Big Lots,"$5,200 ",152.8
496,Michaels Cos.,"$5,197 ",378.2
497,Toll Brothers,"$5,170 ",382.1
498,Yahoo,"$5,169 ",-214.3
499,Vistra Energy,"$5,164 ",-
500,ABM Industries,"$5,145 ",57.2
